OBSERVATIONDATETIME	LOCATION	WEDGE	CATEGORY	COMMONNAME	SCIENTIFICNAME	STATUS	NOTES
5/3/2024	Garden	10	Plant	Silver ponyfoot	Dichondra argentea	Fully green/silver	
5/3/2024	Garden	10	Plant	Dwarf Barbados Cherry	Malpighia emarginata	Blooming	
5/3/2024	Garden	10	Plant	Buttonbush	Cephalanthus occidentalis	Fully green	
5/3/2024	Garden	11	Plant	Frogfruit	Phyla nodiflora	Blooming	
5/3/2024	Garden	11	Plant	Texas lantana	Lantana urticoides	Blooming	
5/3/2024	Garden	11	Plant	Globe mallow	Sphaeralcea ambigua	Blooming	
5/3/2024	Garden	12	Plant	Lyreleaf sage	Salvia lyrata	Blooming	
5/3/2024	Garden	12	Plant	Engelmann daisy	Engelmannia peristenia	Blooming	
5/3/2024	Garden	12	Plant	Obedient plant	Physostegia virginiana	Fully green	
5/3/2024	Garden	13	Plant	Horseherb	Calyptocarpus vialis	Blooming	
5/3/2024	Garden	13	Plant	Gayfeather	Liatris mucronata	Fully green, budding flowers	
5/3/2024	Garden	13	Plant	Skeleton leaf goldeneye	Viguiera stenoloba	Blooming	
5/3/2024	Garden	14	Plant	Prairie verbena	Glandularia bipinnatifida	Blooming	
5/3/2024	Garden	14	Plant	Chocolate daisy	Berlandiera lyrata	Blooming	
5/3/2024	Garden	14	Plant	Flame acanthus	Anisacanthus quadrifidus var. wrightii	Fully green	
5/3/2024	Garden	15	Plant	Snakeherb	Dyschoriste linearis	Blooming	
5/3/2024	Garden	15	Plant	Rock rose	Pavonia lasiopetala	Blooming	
5/3/2024	Garden	15	Plant	Rock rose	Pavonia lasiopetala	Blooming	
5/3/2024	Garden	16	Plant	Silver ponyfoot	Dichondra argentea	Fully green/silver	
5/3/2024	Garden	16	Plant	Black dalea	Dalea frutescens	Fully green	
5/3/2024	Garden	16	Plant	Fall aster	Symphyotrichum oblongifolium	Fully green, some blooms	
11/7/2025	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
12/12/2025	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
3/31/2023	Sanctuary		Pollinator	Question Mark Butterfly	Polygonia interrogationis	Present	
6/9/2023	Sanctuary		Pollinator	Question Mark Butterfly	Polygonia interrogationis	Present	
6/16/2023	Sanctuary		Pollinator	Question Mark Butterfly	Polygonia interrogationis	Present	
6/23/2023	Sanctuary		Pollinator	Question Mark Butterfly	Polygonia interrogationis	Present	
6/30/2023	Sanctuary		Pollinator	Question Mark Butterfly	Polygonia interrogationis	Present	
7/7/2023	Sanctuary		Pollinator	Question Mark Butterfly	Polygonia interrogationis	Present	
2/23/2024	Sanctuary		Pollinator	Question Mark Butterfly	Polygonia interrogationis	Present	
8/15/2023	Sanctuary		Plant	Rain lily	Zephyranthes drummondii	In bloom	
7/25/2025	Sanctuary		Pollinator	Reakirt's blue	Echinargus isola	Present	
9/5/2025	Sanctuary		Pollinator	Reakirt's blue	Echinargus isola	Present	
9/26/2025	Sanctuary		Pollinator	Reakirt's blue	Echinargus isola	Present	
6/30/2023	Sanctuary		Pollinator	Red admiral	Vanessa atalanta	Present	
7/7/2023	Sanctuary		Pollinator	Red admiral	Vanessa atalanta	Present	
7/14/2023	Sanctuary		Pollinator	Red admiral	Vanessa atalanta	Present	
2/23/2024	Sanctuary		Pollinator	Red admiral	Vanessa atalanta	Present	
4/12/2024	Sanctuary		Pollinator	Red admiral	Vanessa atalanta	Present	Multiple individuals
12/12/2025	Sanctuary		Plant	Red Oak	Quercus rubra	Fall mode	
4/14/2023	Sanctuary		Wildlife	Red-shouldered hawk	Buteo lineatus	Present	Possibly
5/26/2023	Sanctuary		Wildlife	Red-shouldered hawk	Buteo lineatus	Present	
6/9/2023	Sanctuary		Wildlife	Red-shouldered hawk	Buteo lineatus	Present	
6/23/2023	Sanctuary		Wildlife	Red-shouldered hawk	Buteo lineatus	Present	
6/30/2023	Sanctuary		Wildlife	Red-shouldered hawk	Buteo lineatus	Present	
8/25/2023	Sanctuary		Wildlife	Red-shouldered hawk	Buteo lineatus	Present	
4/14/2023	Sanctuary		Plant	Retama	Parkinsonia aculeata	In bloom	
4/21/2023	Sanctuary		Plant	Retama	Parkinsonia aculeata	In bloom	
4/28/2023	Sanctuary		Plant	Retama	Parkinsonia aculeata	In bloom	
5/5/2023	Sanctuary		Plant	Retama	Parkinsonia aculeata	In bloom	
5/26/2023	Sanctuary		Plant	Retama	Parkinsonia aculeata	In bloom	
7/28/2023	Sanctuary		Plant	Retama	Parkinsonia aculeata	In bloom	
8/4/2023	Sanctuary		Plant	Retama	Parkinsonia aculeata	In bloom	
9/22/2023	Sanctuary		Plant	Retama	Parkinsonia aculeata	In bloom	
4/18/2025	Sanctuary		Plant	Retama	Parkinsonia aculeata	Flowering	
5/23/2025	Sanctuary		Plant	Retama	Parkinsonia aculeata	Flowering	
6/27/2025	Sanctuary		Plant	Retama	Parkinsonia aculeata	Flowering	
5/23/2025	Sanctuary		Plant	Rock rose	Pavonia lasiopetala	In bloom	
6/27/2025	Sanctuary		Plant	Rock rose	Pavonia lasiopetala	In bloom	
7/25/2025	Sanctuary		Plant	Rock rose	Pavonia lasiopetala	In bloom	
9/26/2025	Sanctuary		Plant	Rock rose	Pavonia lasiopetala	In bloom	
3/10/2023	Sanctuary		Wildlife	Ruby-throated Hummingbird	Archilochus colubris	Present	
6/28/2024	Garden	1	Plant	Frogfruit	Phyla nodiflora	Full bloom	
6/28/2024	Garden	1	Plant	Calyophus	Oenothera calylophus	1 blossom	
6/28/2024	Garden	1	Plant	Datura	Datura wrightii	Blooming	
6/28/2024	Garden	2	Plant	Silver ponyfoot	Dichondra argentea	Fully green/silver	
6/28/2024	Garden	2	Plant	Mealy blue sage	Salvia farinacea	Blooming	
6/28/2024	Garden	2	Plant	Esperanza	Tecoma stans	Blooming	
6/28/2024	Garden	3	Plant	Gregg dalea	Dalea greggii	Blooming	
6/28/2024	Garden	3	Plant	Damianita	Chrysactinia mexicana	Some blossoms	
6/28/2024	Garden	3	Plant	Tropical sage	Salvia coccinea	Blooming	
6/28/2024	Garden	4	Plant	Metz's Wild Petunia	Ruellia nudiflora	Blooming	
6/28/2024	Garden	4	Plant	Heart leaf hibiscus	Hibiscus martianus	Blooming	
